packet,duration
230,0.880902
706,0.903513
257,0.907279
559,0.9064
99,0.752914
168,0.918198
913,0.909342
541,0.909875
65,0.513078
112,0.794224
870,0.880773
372,0.880926
881,0.881014
860,0.872229
911,0.879984
947,0.878275
914,0.881807
287,0.871189
156,0.88284
891,0.907027
359,0.871397
546,0.881276
282,0.904901
57,0.455696
417,0.868983
642,0.907844
247,0.881676
741,0.872638
317,0.882989
930,0.909136
354,0.905993
411,0.870318
944,0.905106
904,0.871505
221,0.90763
783,0.907174
139,0.882111
318,0.903836
631,0.90709
588,0.881173
251,0.872299
777,0.870379
743,0.882821
346,0.90406
88,0.688934
920,0.880432
879,0.86756
553,0.92054
958,0.90635
328,0.86888
557,0.880612
607,0.88232
711,0.905553
898,0.881535
311,0.88271
577,0.914005
497,0.885539
561,0.870078
772,0.905878
312,0.918362
726,0.882318
302,0.881939
724,0.870414
562,0.905425
184,0.870923
697,0.918898
63,0.53762
90,0.666235
907,0.869012
854,0.871777
744,0.919755
846,0.872109
404,0.907586
268,0.904668
50,0.438976
538,0.881683
550,0.918727
59,0.483135
192,0.882629
755,0.871645
115,0.809373
532,0.898204
195,0.869784
620,0.905571
337,0.920748
185,0.906161
708,0.919886
768,0.882836
496,0.898055
710,0.870879
488,0.880701
833,0.90706
785,0.872837
645,0.908734
440,0.908601
75,0.595262
105,0.780239
787,0.882344
826,0.882648
896,0.870714
402,0.881754
519,0.872535
699,0.871852
935,0.919155
712,0.882111
211,0.882246
483,0.868461
428,0.871473
817,0.881798
410,0.881764
171,0.90314
395,0.870229
753,0.90706
658,0.915181
157,0.91947
735,0.872239
829,0.870875
81,0.6248
795,0.881859
922,0.907647
667,0.907896
136,0.881918
889,0.881515
443,0.906894
718,0.881475
781,0.881477
871,0.867821
222,0.88239
273,0.87052
543,0.881384
714,0.903256
238,0.906301
258,0.880176
602,0.870752
825,0.903775
169,0.881383
22,0.675144
931,0.881612
461,0.885892
201,0.867616
276,0.920696
886,0.90776
629,0.881702
941,0.907614
332,0.906453
921,0.867878
530,0.870489
525,0.871206
400,0.872229
593,0.882047
389,0.885629
579,0.880391
903,0.881155
690,0.881894
615,0.880847
564,0.919996
393,0.904974
902,0.906077
636,0.920459
85,0.676327
152,0.905564
933,0.905818
123,0.859531
73,0.563971
277,0.881707
927,0.905979
352,0.896621
864,0.881441
859,0.882569
650,0.906343
838,0.872833
880,0.903226
21,0.518861
515,0.907333
739,0.904725
571,0.88131
250,0.882341
71,0.54304
566,0.871128
129,0.871818
374,0.881707
430,0.883106
616,0.868737
505,0.914316
705,0.870223
235,0.906225
253,0.869514
827,0.920062
808,0.905822
647,0.873045
589,0.920685
554,0.880744
464,0.868689
434,0.907487
194,0.881876
945,0.881561
915,0.872768
595,0.907338
822,0.905735
191,0.908497
604,0.896852
796,0.871842
809,0.880826
779,0.882827
692,0.908715
91,0.702607
868,0.869659
10,0.628244
855,0.907554
469,0.913223
791,0.871806
565,0.881184
919,0.905742
872,0.9056
357,0.905724
510,0.880733
678,0.906663
928,0.880932
685,0.915886
363,0.880959
